id,core
887,4
888,14
889,2
890,4
891,2
892,2
893,2
894,2
895,2
896,2
897,8
898,2
899,2
900,22
901,8
902,2
903,2
904,2
905,6
